trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8534070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
92903070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
85390010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
90920010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
83337010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
93511020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
83490070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
91048020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
8658020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
91448010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
84380070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
94067020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
86837020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
79939010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
86844070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
77194020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
86941070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
77227070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
84697070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
76280020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
84782070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
76311010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
84845020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
79154020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10012122,shp-100-02,1
85024020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
78762020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
9287070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
83724020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
95393070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
83686010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
95715070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
83688010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
93558010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
81323020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
96243070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
80902020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
93791020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
81884020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
